Random_ID,Problem_Statement,Resolution_Statement,
FA3BACAA-61E4-461B-98E1-004E8945FBFF,"UNIT HAD NO FUCNTIONS, WOULD NOT MOVE.SENT TECH TO LOCATIONFOUND THE CONTROL BOX SHORTED, NOT REPAIRABLE                                ","REPLACED THE GCON AND TESTED UNIT FOR ANY ADDITIONAL ELECTRICAL PROBLEMS, NONE FOUND AT THIS TIME. UNIT FUNCTIONS PROPERLY AT THIS TIME ",ZZD
42F14F36-6F90-4954-BA32-004EC8F84768,"Oil leaks from two wheels hub, seal kit must be replaced","After replacing the seal kit , it worked well",HWW
27627F87-451E-4BA6-808F-004EE7482848,SERVICE CALL TO THE FIELD FOR UNIT KEEPS DIEING. FOUND THE UNIT TRIPPING BREAKER,RESET THE BREAKER AND FUNCTION TESTED. UNIT OK NOW,ZZD
E9D07387-8B16-41FB-9AD5-005205C9C291,Completed SN 160008,Completed SN 160008,ZZZ
1399C913-D584-4B6E-9757-00524C2678F7,Pump failed leaving metal contamination in hydraulic systemREMOVED FAULTLY HYDRAULIC PUMP FROM UNIT.                                    ,REPLACED WITH NEW AND NEW ORING. COMPLETELY FLUSHED THEHYDRAULIC SYSTEM TWICE TO INSURE ALL METAL SHAVINGS WERE REMOVED FROM SYSTEM.    ,HP
F43961FF-FDB4-40EB-A5E1-0052B81228C0,Unit has hydraulic oil leak.Blown o-ring on fitting for master cylinder hose.                                                           ,Replaced o-ring                                                                                                                         ,HO
413683A4-7A89-467C-A530-00543C2A9EBE,Seat adjustment handle broken. Approved per Jeff Dunn.                                                                                  ,Seat adjustment handle broken.                                                                                                          ,noc
34EFCAD6-F5B6-4EA3-A95D-00545C10ADE2,LEAK FROM FRONT AXLE. OVER-FILLED AND LEAKING FROM YOKE SEAL.,REPLACED YOKE SEAL.,ZZZ
6B3B59D0-3E08-4FF0-993F-00557AF141D4,"STOPPED RUNNING/ KEY SWITCH IS HARD TO TURN, WIRE CONNECTIONS FAULTY AT GCM                                                             ","REPLACE KEYSWITCH, REPAIR WIRING                                                                                                        ",ES
A0DE18BC-7B04-421C-A01C-00565DC61817,Hydraulic leak  oring 115209 failed. t/s found oil leaking at primary function manifold from flow regulator valve. removed valve and    ,replaced oring.tested. no leaks found. hyd fluid levels ok. unit working properly. returned to service                                  ,HO
B36CA738-10D7-4EA3-94DC-0056766AE467,GCON FAILED WHILE ON RENT WON'T STAY ON & CODES OU  T.FAULTY GCON.                                                                      ,ORDERED NEW G-CON-WAS SENT WRONG ONE HAD TO DOWNLOAD NEW SOFTWARE & REPROGRAM MODULE                                                    ,EJE
AB32E616-425A-4008-82EE-0056B3BA1F66,CALL- NO FUNCTIONS-Check no power at 110 outlet at platform         Check generator found no power coming from generator to breaker box ,Replaced generator                                                  All checks good now                                                 ,HG
E216C1CB-AD96-4ECB-AC35-0056C1A71B63,HYD.LEAK-FOUND BLOWN O-RING AT MANIFOLD VALVE.                                                                                          ,REPLACED O-RING. TEST O.K.                                                                                                              ,ZZD
F8A350DB-40C9-4580-80DD-0057629FBC15,SEQUENCING CABLE PULLEY IS BENT AND SCARRED UP   PRETTY BAD . NEEDS REPLACED,REPLACED WHEEL,GWS
F8D81513-890D-4BBF-A418-00576F226299,"hyd. oil leak at brake manifold,found ball had blow or fallen out of brake manifold talked to genie tech. was told to replace manifold. ",installed new manifold test ran unit all is well                                                                                        ,HV
A67A273B-C9F7-4572-AA90-005781A6221E,Aluminum shards found in hydraulic return filter. Hydraulic pump failed. Spoke to Connie at Genie.                                      ,Disassembled. R&R pump. Reassembled. Refilled oil. Tested.                                                                              ,HP
CBF58110-FF46-4E5F-9319-005835981A82,Beacon alarm inop. Wiring contacts came loose from beacon.,Re-attached connection to alarm & tested. Operating as designed.,ZZZ
55B085A8-D95D-47D2-BA3B-00589B5B4C6A,"NEW UNIT, 1ST RENTAL. CUSTOMER CALLED COMPLAINING OF HYD LEAK. FOUND LOOSE HOSE FRO BOOM IN AND OUT.",REPAIRED AND INSPECTED FOR ANY FURTHER LEAKS NONE FOUND. UNIT HAS 46.5 HOURS,HH
3F6F16A5-6419-4B06-A0C7-0059422B3013,SEAT COULD NOT BE RELEASED TO SLIDE FORWARD OR BACKWARD NO LEVER TO RELEASE SLIDES.                                                     ,INSTALL NEW SEAT ASSMBLY                                                                                                                ,MZ
72BF93FE-AC9C-4B70-8657-00596E0E6493,"HYDRAULIC PUMP WEAK, PUMP FAILED INTERNALLY.",REPLACED THE PUMP AND VERIFIED REPAIRS.,HP
CB2E8270-9400-4B15-B6C1-0059C1F5171A,Customer states hydraulic fluid leaking in operators cab.,Remove cover at joystick and inspect that hydraulic fittings are not loose. After further inspection found that the joystick itself is leaking fluid. Remove and replace boom operation joystick.,ZZZ
0AC330C1-D67C-454F-BC2E-005A508C2865,"Oil Leaking switch, press, # 6SAE, 600 PSI with crack.                                                                                  ","Replaced switch, press, # 6SAE, 600 PSI.                                                                                                ",HZZ
A3646BF8-52E7-41FB-99F0-005ABE2BD073,foam filled tires replaced as per Special Genie Tire Warranty                                                                           ,foam filled tires replaced as per Special Genie Tire Warranty                                                                           ,GWS
BE0A2B40-81BC-4CA1-AE20-005BB23C7BF0,boom creeping down                                                  faulty holding valves and seals on valves                           ,replace holding valves on job site                                                                                                      ,HV
F26ACAA5-3357-464B-899F-005C1439EFF4,SWING MOTOR LEAKING. LEAK COMING FROM TURRET MOTOR. SWING MOTOR LEAKING HYDRAULIC FLUID.,REMOVED AND REPLACED SWING MOTOR ASSEMBLY.,HWS
84332999-A2D3-49B1-8FA1-005E4C356580,needs drive joystick                                                joystick faulty. would not take calibration                         ,replace joystick                                                                                                                        ,EJ
7513982C-5E95-4994-AD6C-005E4CEFB0CB,HYD LEAK AT JOYSTICK & WIPER ON SKYLIGHT GLASS INOP                                                                                     ,ORDERED AND REPLACED BOTH ITMES.  ALL OK                                                                                                ,EJE
F6DE0053-681E-4C03-AEDF-005F3D2DB0C5,"Basket stopped leveling, customer needed to be let down using service bypass.  Diagnosed faulty jib turntable tilt sensor.              ","Installed new sensor, checked functions, all good.                                                                                      ",EZZ
06F30B17-B6B2-404C-A68F-005F3D8AE47B,REPLACE STEER AXLE. NEED TO R/R STEER AXLE. COMPLETE AXLE INSTALLATION CHECK FLUID LEVELS.                                              ,HAD TO REMOVE BOTTOM CAPS ON SPINDLES TO DRILL OUT BROKEN GREASE FITTINGS AND LUBE AXLE MOUNTING PIVOT POINTS.                          ,GWW
5D03A0C1-9BF0-4AB9-8581-006001E85FB6,the ecm do not display something                                                                                                        ,replace the ECM                                                                                                                         ,EJE
AF90E1F5-F85A-45A8-9835-00600DE5B401,"The main arm extends automatically                                  By replacing the extending oil cylinder ,the machine work normally  ","Replace the extending oil cylinder                                  £""This  oil cylinder  is local purchasing)                          ",HC
A260A72E-E5E3-435D-B1DF-006015B718F2,O-ring pops up at the manifold.                                     Oil leak at the hydraulic tank.                                     ,Replace the o-ring.                                                                                                                     ,HO
0B766CD6-8013-49EC-BB97-006046E84508,CALL FOR THE UNIT OVER HEATING. FOUND A HOLE IN THE RADIATOR,REPLACED THE RADIATOR,PDZ
0A49EBD9-A574-418B-BB13-006080E61AE0,During rental inspection found left front propel motor leaking.                                                                         ,Replaced motor and checked operations. Not leaks and working properly. Returned machine to service.                                     ,ZZD
91728DA8-D0F8-41AE-87DD-0060E1F2838D,Malfunctioning. not charge.                                                                                                             ,Replaced                                                                                                                                ,EC
C30A0288-C4D2-4005-904E-006106468DC9,"unit leaking hyd fluid, found bad oring on lift cy                                                                                      ",replaced oring and cleaned up oil spill                                                                                                 ,HO
BFE642FA-9196-4AF0-9F54-0061BD7CD583,"Part warranty , recieved part and installed it did not work.                                                                            ",Replace foot switch.                                                                                                                    ,ES
734CE344-C242-47A3-90B2-0062294F07D8,error code C021 PCON not detected.                                  will email more detail                                              ,replaced coil cord tested                                           unit working properly. returned to service                          ,EWZ
B49F1517-64EF-47B2-852B-00624B4BDC03,sb 120013 MODIFICATIONS TO CONTROL CYSTEM                                                                                               ,COMPLETED MODIFICATIONS PER INSTRUCTIONS                                                                                                ,ZZD
564DA816-0B18-4AF7-A901-0062ABC08D54,decal cracked                                                                                                                           ,replaced decal                                                                                                                          ,EJE
C96D3554-A8B9-4DB0-B09B-0062FE93062F,Boom will not extend properly.                                      boom angle sensor has a low value.                                  ,"installed new boom angle sensor, recalibrated unit and boom         worked properly.                                                    ",EZZ
4773A555-6980-45C2-934F-0063A9B49C02,SLOW TO NO FUNCTION. LOW PUMP PREASURE FOUND WHEN TESTED.,REPLACE PUMP,HP
666D3A12-7B0C-4E71-92F3-0063AC30DA6D,CALL FOR THE EXH TAIL PIPE FELL OFF   BROKE AT CLAMP ON MUFFLER                                                                         ,REPLACED TAIL PIPE ASSY                                                                                                                 ,GWS
4E5B88F1-9373-41BC-91A2-006400A12B68,"ENGINE COOLING FAN BROKEN/UNKNOWN, ALL BLADES CAME OFF.",REPLACE ENGINE COOLING FAN.,GWS
76DDCF37-FB94-4ED8-81F9-0064CD31B029,The boom in/out josystick gets stuck in the telescopeout position.                                                                      ,Replace joystick to return unit to safe use.                                                                                            ,EJ
BCE439AB-5619-491F-A589-006514277C61,"Hydraulic pump, drive motors have been replaced. Problem has not been rectified. Still working with Tech Support. File #121518          ",Still working with Tech Support. File #121518                                                                                           ,ZZD
B132D706-DDBC-401E-8518-006520EC529C,Customer service call. Customer is stuck in the air due to unit not able to start. Diag confirmed one battery failure.                  ,R&R battery assy and tested. operating as designed.                                                                                     ,EB
32714CF6-E3D5-4B51-A38C-006552F82756,"UNIT HAS A HYDRAULIC LEAK, BLOWN O-RING ON THE FITTING IN THE EXTEND/RETRACT CYLINDER.                                                  ","REMOVE AND REPLACE BAD O-RING,CLEAN UP OIL MESS. ALL OP'S OK                                                                            ",ZZD
55F9356D-4DC7-4522-90A6-006564414159,"Customer service call, unit has hyd leak. dispatched technician and confirmed leak from hyd hose fitting at main manifold.","Moved 3 hoses to access, r&r o-ring, nd cleaned unit.",HO
E2C8E49F-AA7A-4331-BD49-0065835FAF9B,"PARK BRAKE HAS LONG DELAY TO SET.PER GENIE SERVICE - PULL FRONT AXLE ASSEMBLY , REMOVE LEFT & RIGHT SIDE AXLE GROUP & INSPECT BRAKE SPRINGSFOR DAMAGE , ALL BRAKE SPRINGS ARE FINE. REASSEMBLED AXLE AND INSTALLED BACK IN MACHINE",PULLED BRAKE VALVE OUT & INSPECTED THE ORIFICE. NO BLOCKAGE FOUND.RAN PRESSURE TEST PER FACTORY. ALL PRESSURES CORRECT. PUT ON LOADING DOCK & RAN TIME TEST. PLUMBED IN AT AUXILIARY RELEASE VALVE & TESTED.NO ISSUE FOUND. **SEE ATTACHMENT**,ZZZ
2457B063-4CF1-49CB-96BA-00668EE12BA8,SWING DRIVE ASSEMBLY LEAKING - REPLACE WITH UPDATED PART NUMBER AS  PER GENIE TECH                                                      ,Replace with updated part number - machine test okay.                                                                                   ,HWS
0156B312-FDFD-49C8-AC1E-00676A444E8C,SC C: machine won't drive or go into gear.  C: blown 1amp fuse on slot 15 for switch power.,C: replaced fuse and tested all functions to see if it would pop again. Checked wiring for shorts or breaks. None to the eye.,ZZZ
3B8B3376-A4D3-4C79-87A4-00678847C713,During inspection tech. noticed EGR tube was broken.                                                                                    ,Replaced broken EGR tube.                                                                                                               ,PDM
D299D063-4551-46BE-A979-006810089569,Functions inop.                                                                                                                         ,R&r gcon assy and tested.                                                                                                               ,ZZD
5D71D0A5-DA08-445C-A587-0068DBB42B59,"Unit is running rough, pipe from exhaust manifold to EGR valve broken                                                                   ",Installed new exhaust pipe                                                                                                              ,PDM
A4DACEE8-267F-4B6F-AA42-00690525DFAF,CALL FOR A MUFFLER LOOSE                                            FOUND MUFFLER LOOSE                                                 ,REPLACE MUFFLER                                                                                                                         ,PDM
6C2C5BFD-2C08-4870-AAB2-006984385AE4,SB 170002,SB 170002,ZZZ
93A75A27-4F5B-4F57-B788-006A7423D84E,LEFT PART OFF GENIE CLAIM 549205.                                                                                                       ,LEFT PART OFF GENIE CLAIM 549205.                                                                                                       ,HP
78942827-BC13-40DA-A3B9-006B65E139A0,"CHARGER  FAILED, WILL NOT CHARGE",CHARGER REPLACED,GWS
475FA92C-9171-4B8F-A507-006DD3DAD5B9,unit was delivered damaged. Replaced damaged wheel bushings and bolts. Replaced control box and decal. Spoke with JODI ROBLEDO @ terex  ,and was advised to submit this for warranty. Replaced items and test - ok.                                                              ,AS
78DEF21E-7F26-4A71-A873-006DF319ACCF,WE REPLACED THE SECONDARY AND STEERING HOSE REROUTING KITS.                                                                             ,WE REPLACED THE SECONDARY AND STEERING HOSE REROUTING KITS.  UNIT OK NOW.                                                               ,MZ
0BEE05B8-22EA-46EF-A65A-006E50B1D2E7,SB  140005  PRODUCT ADVISORY                                                                                                            ,SB 140005                                                                                                                               ,noc
FD973A86-A0F8-489C-B21D-006E5D1F2375,Inside top window latch handle came off;Unknown                                                                                         ,Order new handle and washers install new handle works ok.                                                                               ,GWS
598753A3-5216-4CE3-8BEF-006F40B0ADDF,"NO RIGHT SWAY FUNCTION,                                                                                                                 ","WORK WITH JESUS RODRIGUES CK. HYD CONTROL VALVE & SOLENOIDS, JOYSTICK SWITCH, R/R FUSE PANEL, REPAIR WIRES AT CIRCUIT BOARD CONNECTOR.  ",EWZ
0437CFD1-8668-4C00-9F81-007129D7C5D6,Oil leak                                                            oring missing @ hose on traction mani genie part on hose 49110-7592 ,New oring installed 2/21/13                                                                                                             ,HO
3470C8DF-94F7-4E83-8797-00713085D4C1,"unit loses power at times, checked and found a bad motor controller.                                                                    ",replaced motor controller and tested.good.                                                                                              ,ZZD
DDBEBAA7-AC19-47D6-BD6F-007142918922,Unit would not start.                                                                                                                   ,Replaced battery and keyswitch.                                                                                                         ,GW
AE96B813-DF56-47FC-B9C5-00716A4DDB16,The ECM has fault and cause that the machine has no action                                                                              ,Replace the ECM                                                                                                                         ,EP
8BC521D8-B45F-46EB-BBC8-0071CDFA7145,Unit does not drive or go in reverse.   Called Tech Support         T/S elect and computer. Found bad computer board and                ,boom extend switch was bad. found pinched wire. (we have photos)    removed and replace prox switch.  Test ran = ok now.                ,EZZ
81C0E929-2B4B-4716-8111-0072CB2E4476,UNIT DISPLAYING CODE CU23/FOUND GROUND                              CONTROL BOX BAD                                                     ,REMOVED AND REPLACED GROUND CONTROL                                 BOX                                                                 ,EJE
CE79C279-A54B-42DE-B48E-007311F0A404,FLUID LEAK: TRAVELED TO THE JOB SITE. LOCATED THE UNIT. INSPECTED UNIT FOR LEAKS. FOUND TWO LEAKS AT OUTRIGGER VALVE. ORDERED PART      ,RETURNED TO THE JOB SITE.DISASSEMBLED AS NEEDED.REMOVED DEFECTIVE VALVE. INSTALLED NEW VALVE.REASSEMBLED TESTED RETURNED TO SERVICE     ,HV
403482A3-1ED4-4A46-8E5D-007341E7A6C3,Hydraulic leak                                                      blown oring on a relief valve on hydraulic manifold inside frame    ,removed relief valve & match to old one from kit. reinstall valve & torque                                                              ,HO
0DADC5B4-3ED5-432F-BD91-00736062A8E0,Unit will not move. Found 24 volt contactor failing.,Removed 24 volt contactor and installed new. Tested all functions.,ER
200608D2-6B3F-4D74-9F93-0073A17718D1,BASKET NOT MOVE TO THE RIGHT BUT WILL MOVE TOO THE LEFT,REMOVE AND INSTALL NWE PART AND IT IS WORKING GOOD,HV
49807125-908F-4BC9-B25B-00747122CADA,Leaking hyd oil on casual part # 49130-4482 MT POSO/Faulty oring                                                                        ,Remove and replace oring and test functions                                                                                             ,ZZD
97626164-F0EB-49FD-8598-0076647A8CEC,Axle float valve stuck. Wheel stuck in air. Valve stuck. Replaced valve. Still not working. Replace CB Valves. All ops good.,Replaced valve and counter balance valves. All ops good.,HV
8C165F70-B1B0-4DF7-A0B0-007723901745,CALL FOR A HYD LEAK                            DRIVING LEVEL VALVE LEAK,REPLACED O-RING. ADDED OIL. FUNCTIONS GOOD.,HO
8D7C6A6F-453A-4CE5-BA9D-007745C02091,"OIL LEAK AT RIGHT, REAR WHEEL HUB                                                                                                       ","REPLACE O-RING, END COVER 4HP PART #106123 AND TOP UP WITH 10W OIL                                                                      ",ZZD
70C79D08-DDDD-4D6C-AF60-0077BE541A13,the cylinder oil spill                                                                                                                  ,replace the cylinder(this part is local purchase)                                                                                       ,ZZD
86B9754A-6AE2-4E6C-91E0-007872D19363,exhaust leak on machine                                             exhaust bolts broken into head                                      ,replace bolts & gaskets on manifold assy                                                                                                ,PDM
DAF17A1F-6F56-4894-A291-007A89AA437C,exhaust bracket cracked and broken due to excessive vibration                                                                           ,service call to job site. drillout broken bolts and replace exhaust install new bolts. test. unit working properly. returned to service ,MZ
A62C5165-7F48-4333-942D-007B51047316,NO FUNCTIONS                              FAULTY CONNECTION AT CONTACTOR WIRING,REPAIR CONNECTION / TESTED GOOD.   Primary Part#: 233431GT,EWZ
87BDF8E5-75BA-4613-8B0A-007C5214997E,The power light is not bright                                       no electric current is output                                       ,replace a new charger                                               hertz has 2 years warranty time                                     ,HC
FBE10A66-2C0C-413B-931B-007C99C46A62,MECH. WENT TO THE JOBSITE AND FOUND THE CHOKE ROD TO BE BROKEN.     REPLACED AND ADJUSTED THE ROD. TROUBLESHOT A BOOM FUNCTION PROBLEM  ,CHECKED THE LIMIT SWITCHES AND VOLTAGES PER GENIE SERVICE DEPT.     FOUND AND ADJUSTED BAD BOOM LIMIT SWITCH                            ,MZ
B5A92E79-7CF9-4EA2-8DBC-007D567893AE,CUSTOMER CALLED & STATED UNIT HAS HYD. LEAK. DISPATCHED MECH. TO    CUST. JOBSITE. CHECK UNIT & FOUND HYD. LEAK @ VALVE BANK.           ,"REMOVE STEER VALVE, RE-SEAL & RE-INSTALL. REPLACED O-RING. TOPPED   OFF HYD. OIL. RUN & TEST - FOUND ALL OK, RETURNED TO SERVICE.       ",HO
F75EE098-9BFE-4A30-9735-007DF8A33F10,Batteries not charging. T/S and GCON inop. OK per Jeff Dunn to file.                                                                    ,"Replaced GCON and tested. Works fine, returned machine to service.                                                                      ",GWS
CCBD3320-2639-4CBC-AE06-007FDE7B0493,Platform beeper goes off.                                                                                                               ,repaired wire connector and replaced alarm.                         worked with genie rep: todd weaver                                  ,EWZ
A623EB03-5A8F-4E96-9146-007FF7AEA498,"The equipment is not filling into electricity,the voltage cannot rise                                                                   ",replace the charger (this charger is local purchased)                                                                                   ,ZZD
E6C0EB07-C2E3-4C93-B15C-00821B0B63BC,SB 170015,SB 170015,ZZZ
34749AE8-51F1-49DA-8A6A-00826FB9BD47,The joystick  has no display and cause that machine has no action.                                                                      ,Replace a new PC board.                                                                                                                 ,EP
B70ACB80-9032-4C01-8DE8-008283D7997C,hood will not latch. latch came apart internally                                                                                        ,replaced latch                                                                                                                          ,MZ
ED6C717E-EB1E-4752-BBFD-0082A7F09AD4,"Platform drifting down. Troubleshoot holding valve drifting. Unable to fix, holding valve faulty.                                       ",Remove and replace holding valve.                                                                                                       ,EPG
A1727DCD-8DF9-4D5A-AE26-0082BAFC190F,The joystick has fault.The machine Back slowly.                                                                                         ,Replace a new joystick.This part is local purchasing)                                                                                   ,EJE
98CDCFC5-D51C-491B-8487-00845CA2741F,NO HORN. HORN CONTACTS IN STEERING COLUMN                           DAMAGED                                                             ,REPLACED COLUMN                                                     N                                                                   ,ZZZ
3A4DAE41-D6CC-4EDD-9E00-0084CC196E6E,No start due to loose connector on wires # 111X,Tested battery-ok. Tested fuses & found no power to them. Removed dash & key switch. Found no power to switch. Found 2 red connector loose. Repaired connector and tested.,EWZ
9D9A8ADA-B616-4808-9CB3-00869B5A33DA,HYD LEAK. ORING BLOWN ON TURN MOTOR                                                                                                     ,"REMOVED HOSE AND FITTING, REPLACED ORING                                                                                                ",HO
53C4860E-3108-44DE-A5B8-00886E82BFD2,unit shuts down     shut off solenoid is not working properly.                                                                          ,order and replace shut off solenoid.  tested                        unit working properly.  returned to service                         ,ZZD
2DBD5CCA-EA8E-4308-B17A-0088D15CA98D,REPLACE CONTROL BOXES DUE TO BUTTONS BECOMING STUCK IN DOWN         POSITION                                                            ,REPLACE CONTROL BOX PROBLEM SOLVED                                                                                                      ,EJE
CFE83850-05FB-43A7-9A88-008938342A51,basket wont level                                                   broken oring on basket level stem valve                             ,replace oring on basket level stem valve. tested unit ok            5/1/13 terex refurb                                                 ,UE
F45A9325-2C1A-4AE5-B193-008A878D6248,"Axle was grinding and popping. Significant amount of metal and gear teeth came from the drain plug, hub appears to be binding. **SEE INVOICE ATTACHMENT***",Replaced axle assembly. Unit working properly & returned to service.,MZ
9F2CE79A-949E-491E-B38B-008A95638A68,"Customer called, unit lost power to platform. Called genie and      performed extensive troubleshooting.                                ","Determined generator control valve had debris. Removed and replaced valve, adjusted power output and tested. See attached repair log    ",HZZ
294A921F-1125-499A-A5CE-008C0E894F63,New machine delivered with broken sight glass PN 117414GT,Ordered new sight glass (Inv 5000833282) and installed; Genie sight is not recognizing this invoice# thus why notating here.,HZZ
443C9A65-B410-48F7-BC5E-008C30EA371A,CALL FOR THE UNIT WILL NOT MOVE. FOUND A  SHEARD DRIVE PUMP SHAFT                                                                       ,REPLACED PUMP AND COUPLERS                                                                                                              ,HP
A0F869A8-8569-48A9-B508-008E26B9B943,"JOYSTICK IS STICKING, HAVE TO PRESS HARD. VERY JERKY.                                                                                   ",REPLACED JOYSTICK.                                                                                                                      ,EJ
F8E220E1-230B-4766-ABFB-008E8C9FADCC,The cylinder got pitted,Change new cylinder,HC
054EE067-2305-4396-A812-008F22E936B4,Hydraulic oil leak                                                                                                                      ,"Replaced o-ring, refill hyd systemCheck differencials, fill w/gear oil                                                                  ",HO
53AACE8C-03F7-4294-86FE-008F596138E3,hyd tank leaking . cracked,replaced hyd tank,HR
257ECC64-C42B-48B2-B69B-008F7F3A8A8A,"batteries will not stay charged, defective batteries                                                                                    ","replaced 4 GC2-XHD-UTL batteries, invoice attached                                                                                      ",EB
55591F91-8546-4124-A6EB-00928876F909,hyd leak. defective o ring at manifold                                                                                                  ,replace oring. top off hyd tank. tested. unit working properly. return to service                                                       ,HO
34C1CF26-AE52-44A1-8A45-0092BC39893C,pcon not detected                                                                                                                       ,replaced pcon                                                                                                                           ,EJE
71DE60D5-B272-4DE4-904C-0093AC7EFE12,The machine had intermittent operation issues.                      Found bad limit switch.                                             ,Replace the switch                                                                                                                      ,ES
9867AD5B-FACD-4116-9B95-0095230A7641,HEAT SHIELD FOR TURBO BROKEN                                        ENGINE COVER WAS RUBBING AND VIBRATING                              ,"ON SHIELD,REPLACED SHIELD AND ADJ ENG COVER                                                                                             ",MZ
990F6BC9-7196-4E3E-8B46-009606A3C4E5,CRACKED EXHAUST PIPE          REMOVED OLD PIPE,INSTALL NEW PN# 1263120GT,GWS
477B067A-BB12-4CD8-9BC3-00962A38EFE7,"CUSTOMER CALLED, NO FUNCTIONS. SENT TECH OUT TO INSPECT             GCON WAS FLASHING AND COULD NOT SET. CALLED GENIE SUPPORT           ",TOLD TO REPLACE GCON. REPLACED GCON AND ALL                         CHECKS GOOD.                                                        ,EJE
7A25BDE6-438E-4B21-8E20-009688ED4538,Retractable charger cord missing when unit was delivered                                                                                ,installed charger plug supplied by Genie                                                                                                ,EZZ
EEB06DDA-AA4E-4150-87EC-0096933D8837,"Hydraulic Leak, blown O-ring on the valve body                                                                                          ",tech replaced O-ring and cleaned up hydraulic mess                                                                                      ,HO
5922A56C-2C94-419B-92C6-009695161014,LIFT FLEXING WHILE IN AIR-ALL BOLTS THAT HOLD PIN IN SCISSOR ARMS   WERE LOOSE                                                          ,SPENT 3 HOURS ON THE PHONE WITH SCOTT AND SHANE AND LANCE EITHEN                                                                        ,noc
C5012AD1-69FF-431C-B6CE-00969FFF8317,COMPLAINT: NO FUNCTION CONTROLLS WOULD WORK.CAUSE: FAULTY CONVERTER-INTERNAL ISSUE                                                      ,"REPLACED CONVERTER, TEST - OK                                                                                                           ",EC
7DC8EB3F-CECD-40E6-9D1C-0096A39CB388,"Left front drive motor locking up/overfilling                       front seal was blown out of the motro, locking up brakes            ",Removed wheel and final cover. Disc. hyd lines and rem motor. Swap  fittings over to new motor w/ new seals. Tested. problem corrected. ,noc
A2E5F998-2815-4FE2-B373-0096FE0F790B,FAULTY ROTATOR,"REPLACED MANIFOLD,ROTATOR",HSP
FDE3E6B1-06CC-434E-88E1-00976785F66E,Complaint-Hydraulic leak  Cause- found blown o-ring @ relief valve (52374)                                                              ,"Correction- replaced oring, cleaned excess hydraulic oil & test unit for additional leaks, none found.                                  ",HO
A8BFDEB1-7942-4D92-9B4D-0097DF51C96F,primary angle sensor short to 0V worked with tech support ordered angle sensor and angle sensor installed same code showing short to 0V ,worked with Steve Chandler and determined the ZX135 wiring diagram is incorrect at angle sensor corrected wiring calibrated machine OK  ,EZZ
90E1F958-041A-493A-9340-0098F3514F2B,No controls from the basket/Footswitch is faulty                                                                                        ,Ordered a new switch next day air early morning. Replaced foot switch in basket and unit worked properly.                               ,ES
A343C626-344D-4CE9-B2CD-009949DB94B5,Drive shaft from engine to Hyd pump broken                                                                                              ,Ordered new driveshaft. Removed broken driveshaft from engine to transmission pump and installed new part.tested.unit working properly  ,ZZD
73541AD3-0988-4E47-9767-00995985106E,UNIT ONLY 5 WEEKS OUT OF WARRANTY AT DATE OF FAILUREUNIT DOES NOT WANT TO GO IN REVERSE; WILL GO FORWARD BUT SLOW; HYDRAULIC MOTOR BAD  ,"SHORT ON MECHANICS, JUST FINISHED REPAIRREPLACED HYDRAULIC MOTOR. TESTED ALL UNIT OPERATIONS, TESTED OK                                 ",ZZD
5DB33B10-EB67-4408-A824-00999F867A60," HIGH RPM SPEED NOT WORKING,HYD LEAK                                 BAD THROTTLE SOLENOID AND RELIEF VALVE                             ",INSTALL THROTTLE SOLENOID AND ADJ                                   INSTALL AND ADJ RELIEF VALVE   TORQUE TO SPEC.                      ,HV
EC374856-8798-45DB-8210-009A5BD54137,INSPECTED HOSES AND ELECTRICAL WIRING FOR WEAR.                     REMOVED COVERS AND INSPECTED HOSES-OK CHECKED WIRING-OK             ,CHECKED UNIT FOR HYD LEAKS-OK                                       UNIT IS OK AT THIS TIME.                                            ,ZZZ
EAB32B35-CC78-44D7-9CF5-009BA58124CE,RIGHT FRONT AXLE SEAL LEAKING.NOISE COMING OUT OF AXLE WHEN TURNING WHEEL TO LEFT ONLY AND DRIVING. AXLE HAS INT ERNAL DAMAGE CAUSING AXLE SHAFT SEAL TO LEAK.,"REPLACED AXLE, VERIFIED REPAIRS. FRONT AXLE INFORMATION: SERIAL#01001024U REMAN FRONT AXLE SERIAL #01000130",GWW
D844CCBE-D7AD-41B5-B598-009C394646A5,CABLE AND CONTACTOR FAILED ON PIN 6 ORANGE WIRE PREVENTING THE OUTRIGGER FROM BEING RECOGNIZED.                                         ,"WIRES TOO SHORT TO MAKE REPAIRS,  REPLACED CONTACT ASSEMBLY.EXTRA TIME WAS INVOLVED AS THE UNIT WAS COUPLED TO A SINGLE MANLIFT         ",EWZ
E920D039-F1D3-4174-8F68-009C9AE8DCFB,"DURING PDI, AUXILIARY NOT WORKING. TROUBLE SHOOT WITH GENIE, REPLACEMULTI FUNCTION VALVE, NOT FIXED. TROUBLE SHOOT AND PUMP BAD.        ",REMOVED/REPLACE AUXILIARY PUMP. ALL FUNCTIONS WORK PROPERLY                                                                             ,HP
054293D6-89CF-426F-B96F-009CE34ABF13,NO FUNCTIONS                                                        GROUND CONTOLLER BAD                                                ,REMOVED & REPLACED GROUND CONTROLLER                                                                                                    ,EJE
60AA7A12-6F17-4A73-BE91-009D8C9506A2,NO DRIVE IN THE AIR                                                 FOUND FAULTY POT HOLE SWITCH                                        ,REPLACED SWITCH                                                                                                                         ,ES
