canonical_id,canonical_name,canonical_type,n_members,example_members,rationale
Can_f2f1c14e,Nickel base alloys,Material,2,Nickel base | Nickel base alloys,"Both entities refer to nickel-based alloys with overlapping descriptions and characteristics, suggesting they are the same material category."
Can_27c6ec65,corrosion-resistant alloys,Material,2,corrosion-resistant alloys | corrosion-resistant alloys,"Both entities have the same name and type, and their descriptions are similar enough to suggest they refer to the same concept."
Can_92f9a9b6,Monoethanolamine (MEA),Material,2,Monoethanolamine (MEA) | MEA,"Both entities refer to Monoethanolamine (MEA) with similar descriptions and purposes, indicating they are the same chemical compound."
Can_06c233a8,Carbon steel,Material,2,Carbon steels | carbon steel,"Both entities refer to steel primarily composed of carbon, with similar descriptions and type hints, indicating they are the same material."
Can_8ec5a823,,,1,British Standards Institution,
Can_7ebf73bc,,,1,2.25Cr-1Mo steel,
Can_e1e3db1c,,,1,Austenitic stainless steels,
Can_6cd89512,,,1,Aluminum,
Can_7d83f9cd,,,1,Diethanolamine (DEA),
Can_5538cdef,,,1,Duplex stainless steels,
Can_bb4259c5,,,1,Ferritic,
Can_185b2443,,,1,internal pressure,
Can_fd330200,,,1,martensitic,
Can_d2bae0eb,,,1,Martensitic stainless steel,
Can_c32c2bf9,,,1,Methyldiethanolamine (MDEA),
Can_d16df8a6,,,1,British Standard 7910,
Can_da41dd41,,,1,fatigue cracking,
Can_1d77bf37,,,1,control valves,
Can_02c9534a,,,1,vibration-induced fatigue,
Can_972ba58d,,,1,water hammer,
Can_c64c8dfc,,,1,notches,
Can_a5046b2b,,,1,vibration dampening equipment,
Can_b9483f19,,,1,joint configurations,
Can_e46dca96,,,1,electrolyte,
Can_a752f80b,,,1,Copper Alloyed Aluminum,
Can_e4466a83,,,1,fluid flow,
Can_537d312b,,,1,H. Thielsch,
Can_cae26199,,,1,substrate hardness,
Can_ea3fc779,,,1,hardfacing,
Can_6c4e028f,,,1,erosion resistant refractories,
Can_c5532421,,,1,deaeration,
Can_3ca6bc03,,,1,condensate injection,
Can_eb750d8c,,,1,operating change,
Can_8616b4e1,,,1,cavitation prevention techniques,
Can_0f5d098a,,,1,Corrosion Control in the Chemical Process Industries,
Can_546bfd23,,,1,MTI,
Can_7162025c,,,1,Design and Corrosion Control,
Can_588d106c,,,1,steam generating equipment,
Can_e114efd4,,,1,Combustion Fossil Power Systems,
Can_5510533d,,,1,Defects and Failures In Pressure Vessels and Piping,
Can_2d5f0bab,,,1,Krieger Publishing Co.,
Can_ec2fa4cb,,,1,The NALCO Guide to Boiler Failure Analysis,
Can_97fd737b,,,1,McGraw Hill,
Can_1b20cb44,,,1,NY,
Can_3767bbb3,,,1,"John Wiley & Sons, Inc.",
Can_652c592d,,,1,1993,
Can_ba94681a,,,1,EPRI,
Can_443bdcf0,,,1,Short Term Overheating,
Can_60b56c55,,,1,localized deformation,
Can_367d518e,,,1,sigma phase,
Can_6ece2282,,,1,postweld heat treatment,
Can_97c14473,,,1,fracture toughness,
Can_dddb0601,,,1,grain size,
Can_b6085d8a,,,1,WRC Bulletin 418,
Can_78a19e95,,,1,strain rate,
Can_99c5cd3c,,,1,threshold temperature,
Can_f21093b1,,,1,low creep ductility,
Can_62914c2a,,,1,destructive sampling,
Can_8c8bd433,,,1,Materials Selection for Refineries and Associated Facilities,
Can_738bd02b,,,1,1991,
Can_209f6852,,,1,Damage Mechanisms and Life Assessment of High Temperature Components,
Can_ed9aa4e9,,,1,API Recommended Practice 934,
Can_573e2144,,,1,Heavy Wall Pressure Vessels,
Can_0f02c77a,,,1,"High Temperature, High Pressure Service",
Can_e0b400fd,,,1,strain aging,
Can_0d36ebb6,,,1,increase in hardness and strength,
Can_85e22b6c,,,1,"ASME Boiler and Pressure Vessel Code, Section VIII, Division I",
Can_8c1184f4,,,1,885°F (475°C) embrittlement,
Can_4835db2e,,,1,transformation range,
Can_7eae7320,,,1,bend testing,
Can_88f0a4bd,,,1,turnarounds,
Can_e3a50eea,,,1,R. Viswanathan,
Can_e107e5d5,,,1,First International Symposium: Microstructures and Mechanical Properties of Aging Materials,
Can_aa5902d1,,,1,"Materials Park, OH",
Can_b089edf9,,,1,The National Board of Boiler and Pressure Vessel Inspectors,
Can_9575a342,,,1,stress-rupture properties,
Can_7151ca9c,,,1,"WRC Bulletin Series, No.32",
Can_2d8fb481,,,1,loss in strength,
Can_4c8416e0,,,1,fired heater tubes,
Can_4a7a1cd6,,,1,temper embrittlement,
Can_92c85bb3,,,1,C-0.5Mo alloy steel,
Can_27c5bd0d,,,1,R.A. White,
Can_e2ddc9e4,,,1,titanium,
Can_61be8afc,,,1,WFMT,
Can_6d8f46c3,,,1,chemistry,
Can_4af8a5a8,,,1,Bainitic grades,
Can_03037f54,,,1,Coarse pearlitic grades,
Can_8b0ed054,,,1,spheroidization,
Can_308d24a0,,,1,creep deformation,
Can_77abea9f,,,1,heavy cycle oil,
Can_8d91f498,,,1,HPS,
Can_00a8b4ae,,,1,Heat Stable Amine Salts (HSAS),
Can_56865264,,,1,IP,
Can_85ea9258,,,1,IRIS,
Can_1ee341e7,,,1,light coker gas oil,
Can_9c44ef74,,,1,LP,
Can_6e9bd0d6,,,1,LPS,
Can_c3cea812,,,1,PMI,
Can_3844ce1f,,,1,RFEC,
Can_83d98615,,,1,sour water,
Can_a5a03a7f,,,1,sulfidation,
Can_93187b07,,,1,AUBT,
Can_80f189ac,,,1,BFW,
Can_647a8ebf,,,1,C2,
Can_aa6930bb,,,1,C3,
Can_84c913b2,,,1,C4,
Can_7c1123d8,,,1,CH4,
Can_38c384ec,,,1,CO,
Can_c81ede0f,,,1,deisobutanizer,
Can_cd9d8669,,,1,Departure From Nucleate Boiling (DNB),
Can_a1b5b424,,,1,FCC,
Can_c488325b,,,1,Field Metallographic Replication,
Can_a060a895,,,1,water,
Can_3290e169,,,1,API Publication 581,
Can_7f3f4b34,,,1,Calculation of Heater Tube Thickness in Petroleum Refineries,
